Year, Aeropuertos, #Flight, #FlightDelayed
2004, SLC , 138724, 25755
2004, SAN , 86096, 14972
2004, PHX , 170209, 40332
2004, JFK , 91501, 23658
2004, LGA , 127513, 27658
2004, EWR , 158150, 43272
2005, SLC , 160514, 28999
2005, SAN , 89075, 16465
2005, PHX , 174485, 39411
2005, JFK , 101953, 33034
2005, LGA , 127530, 30818
2005, EWR , 155635, 47772
2006, SLC , 142080, 26369
2006, SAN , 92976, 17629
2006, PHX , 215086, 49068
2006, JFK , 110367, 38466
2006, LGA , 127459, 38868
2006, EWR , 158291, 55405
2007, SLC , 147808, 32387
2007, SAN , 97316, 19885
2007, PHX , 211072, 54372
2007, JFK , 126366, 48284
2007, LGA , 122899, 40578
2007, EWR , 154113, 54572
2008, SLC , 139088, 23984
2008, SAN , 93775, 18888
2008, PHX , 199408, 41856
2008, JFK , 118804, 38748
2008, LGA , 119135, 34411
2008, EWR , 138506, 50446
